obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Nový Bydžov,H,27,28,2,5.58,16900.0,596.7498289940828,0.0,0.0,16900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nový Jičín,T,207,314,13,89.00999999999996,221497.0,599.5347046686862,0.0,0.0,200285.5076,0.904235757594911,21211.4924,0.095764242405089,0.0,0.0,0.0,0.0
Nový Knín,S,3,4,1,0.4,3597.0,738.09,0.0,0.0,0.0,0.0,3597.0,1.0,0.0,0.0,0.0,0.0
Nošovice,T,3,3,3,0.27,973.0,401.63261048304213,0.0,0.0,973.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nučice,S,2,5,1,0.892,2293.0,423.14,0.0,0.0,2293.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nymburk,S,79,134,7,75.366,189978.0,411.60813988988207,108170.7025,0.5693854156797102,80406.2975,0.42324004621587763,0.0,0.0,1401.0,0.00737453810441209,0.0,0.0
Náchod,H,570,1027,3,113.90899999999999,358748.0,522.8250799168218,0.0,0.0,355375.7688,0.9906,0.0,0.0,3372.2311999999997,0.009399999999999999,0.0,0.0
Náměšť nad Oslavou,J,30,68,6,6.761,18754.0,543.1983864775515,0.0,0.0,18636.445,0.993731737229391,117.555,0.006268262770608937,0.0,0.0,0.0,0.0
Nýrsko,P,26,32,1,5.7,28689.0,540.52,26775.4437,0.9333,1913.5563,0.0667,0.0,0.0,0.0,0.0,0.0,0.0
Nýřany,P,38,50,22,10.532,47512.0,434.91893016501086,0.0,0.0,47512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Němčice u České Třebové,E,2,4,1,0.9279999999999999,553.0,327.75,0.0,0.0,0.0,0.0,553.0,1.0,0.0,0.0,0.0,0.0
Obora,C,10,11,1,0.46399999999999997,882.0,127.7,0.0,0.0,0.0,0.0,842.9273999999999,0.9556999999999999,39.072599999999994,0.04429999999999999,0.0,0.0
Obrnice,U,19,26,1,4.2,18100.0,673.8441281767956,0.0,0.0,18100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
