,lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,pocet_odberat,pocet_mist,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
887,"Janské Lázně - VS Bellevue, Lázeňská 100",H,0.7070000000000001,0.0018,0.29,0.0013,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,127.0,0.0,0.0,0.0,0.0,511.0,127.0
888,"Janské Lázně - VS Centrum, Náměsti Svobody 272",H,0.7070000000000001,0.0018,0.29,0.0013,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,964.0,0.0,0.0,521.0,964.0
889,"Janské Lázně - VS Vesna, Horní Promenáda 268",H,0.7070000000000001,0.0018,0.29,0.0013,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,304.0,0.0,0.0,0.0,0.0,549.0,304.0
890,"Jaroměr - Josefov, Novoměstská 362, ubytovna",H,0.0,1.0,0.0,0.0,0.0,1.168,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.67,437.0,0.0,0.0,519.67,437.0
891,Jaroměř,H,0.0,1.0,0.0,0.0,0.0,0.28600000000000003,1,1,0.0,0.0,198.03,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.03,123.0
892,"Jaroměř -  Na Obci 142, Základní umělecká škola F.A.Šporka",H,0.0,1.0,0.0,0.0,0.0,0.07,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.73,254.0,392.73,254.0
893,"Jaroměř - Husova 287, Základní škola Boženy Němcové",H,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.18,352.0,444.18000000000006,352.0
894,"Jaroměř - Husovo náměstí 352, Základní škola Boženy Němcové",H,0.0,1.0,0.0,0.0,0.0,0.36,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.36,1444.0,378.35999999999996,1444.0
895,"Jaroměř - Josefov, Nám. Svobody 62, Bytový dům",H,0.0,1.0,0.0,0.0,0.0,0.09699999999999999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.87,360.0,533.87,360.0
896,"Jaroměř - Josefov, Sadová 371, Základní škola Josefov",H,0.0,1.0,0.0,0.0,0.0,0.45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.33,1079.0,447.33,1079.0
897,"Jaroměř - Josefov, Školní 95, Dům dětí a mládeže Klíč",H,0.0,1.0,0.0,0.0,0.0,0.11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.29,495.0,483.29,495.0
898,"Jaroměř - Josefov, U Mlýna 228, Bytový dům",H,0.0,1.0,0.0,0.0,0.0,0.18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.37,572.0,523.37,572.0
899,"Jaroměř - Josefov, Vodárenská 370, Školní jídelna Josefov",H,0.0,1.0,0.0,0.0,0.0,0.17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.75,377.0,503.75,377.0
900,"Jaroměř - Lužická 321, Mateřská škola",H,0.0,1.0,0.0,0.0,0.0,0.16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.96,320.0,515.96,320.0
901,"Jaroměř - Na Karlově 181, Školní jídelna",H,0.0,1.0,0.0,0.0,0.0,0.183,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.33,518.0,519.33,518.0
902,"Jaroměř - Na Ptákách 316, Školní družina",H,0.0,1.0,0.0,0.0,0.0,0.071,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.76,289.0,405.76,289.0
903,"Jaroměř - Na Zavadilce 647, Mateřská škola",H,0.0,1.0,0.0,0.0,0.0,0.134,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.36,302.0,476.36,302.0
904,"Jaroměř - nám. Československé armády 38, Bytový dům",H,0.0,1.0,0.0,0.0,0.0,0.17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.97,617.0,439.96999999999997,617.0
905,"Jaroměř - Pražské Předměstí, Dr. Ed. Beneše 191, Poliklinika Jaroměř",H,0.0,1.0,0.0,0.0,0.0,0.198,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.65,745.0,441.65,745.0
906,"Jaroměř - Pražské Předměstí, Lužická 423, plynová kotelna Gymnázium",H,0.0,1.0,0.0,0.0,0.0,0.7879999999999999,2,2,0.0,0.0,371.91,2365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.91,2365.0
907,"Jaroměř - Pražské Předměsti, Národní 83, areál nemocnice",H,0.0,1.0,0.0,0.0,0.0,1.08,3,5,0.0,0.0,534.13,4186.0,534.13,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,531.5163280485418,5109.0
908,"Jaroměř - Pražské Předměstí, PS Nábřeží 17. listopadu a Na Obci",H,0.0,1.0,0.0,0.0,0.0,0.0,15,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.81,12234.0,0.0,0.0,520.81,12234.0
909,"Jaroměř - Pražské Předměsti, sídliště Zavadilka",H,0.0,0.2874,0.7126,0.0,0.0,8.14,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.34,16788.0,0.0,0.0,452.34,16788.0
910,"Jaroměř - Pražské Předměstí, V Lužinách 110",H,0.0,1.0,0.0,0.0,0.0,14.08,10,10,0.0,0.0,0.0,0.0,0.0,0.0,349.66,118467.0,0.0,0.0,0.0,0.0,0.0,0.0,349.66,13753.0,0.0,0.0,0.0,0.0,349.66,132220.0
911,"Jaroměř - Pražské Předměstí, Základní škola Na Ostrově 4",H,0.0,1.0,0.0,0.0,0.0,0.488,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.67,1682.0,343.67,1682.0
912,"Jaroměř - Tyršova 119, Mateřská škola",H,0.0,1.0,0.0,0.0,0.0,0.096,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.27,280.0,569.27,280.0
913,Jaroměř,H,0.0,0.0,1.0,0.0,0.0,1.416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1,13407.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1,13407.0
