,lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,pocet_odberat,pocet_mist,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
0,Abertamy,K,0.0,1.0,0.0,0.0,0.0,0.81,2,1,0.0,0.0,0.0,0.0,570.27,625.0,0.0,0.0,0.0,0.0,0.0,0.0,570.27,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,570.27,1764.0
1,Adamov,B,0.0,1.0,0.0,0.0,0.0,2.2030000000000003,1,1,0.0,0.0,224.94,22964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.94,22964.0
2,Adamov - Opletalova 38 a 22,B,0.0,1.0,0.0,0.0,0.0,0.46,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.43,1382.0,662.43,1382.0
3,Adamov - P. Jilemnického 18 (K 72),B,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.49,514.0,324.49,514.0
4,Adamov - teplovodní zdroj,B,0.0,1.0,0.0,0.0,0.0,9.0,37,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.92,26492.0,0.0,0.0,540.92,26492.0
5,Andělská Hora 215 - ZŠ,T,0.0,1.0,0.0,0.0,0.0,0.192,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.9,917.0,558.9,917.0
6,Arnoltice,M,1.0,0.0,0.0,0.0,0.0,0.18,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.55,1062.0,402.55,1062.0
7,Aš,K,0.0,0.993,0.006999999999999999,0.0,0.0,15.65,58,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.32,6662.0,0.0,0.0,569.24,40342.0,0.0,0.0,0.0,0.0,566.4166862394691,47004.0
8,"Aš - Vojtanov, nelicencované",K,0.0,0.7601,0.0,0.23989999999999997,0.0,0.419,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.2,1496.0,536.2,1496.0
9,Babice,Z,0.0,1.0,0.0,0.0,0.0,1.29,1,1,0.0,0.0,299.68,5991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.68,5991.0
10,Babice 146,M,0.0,1.0,0.0,0.0,0.0,0.07,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.66,233.0,458.65999999999997,233.0
11,Batelov - DPS,J,0.0,1.0,0.0,0.0,0.0,0.048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.28,139.0,198.28,139.0
12,Batelov - ZŠ,J,0.0,1.0,0.0,0.0,0.0,0.204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.66,575.0,579.66,575.0
13,Bečov,U,0.0,1.0,0.0,0.0,0.0,1.29,1,1,0.0,0.0,265.55,12538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.55,12538.0
14,Bečov,U,0.0,1.0,0.0,0.0,0.0,7.05,6,23,0.0,0.0,0.0,0.0,480.51,6037.0,0.0,0.0,0.0,0.0,0.0,0.0,480.51,13129.0,0.0,0.0,0.0,0.0,0.0,0.0,480.51,19166.0
15,Bechyně - CZT,C,0.0,0.0040999999999999995,0.9959,0.0,0.0,7.3,38,58,0.0,0.0,0.0,0.0,0.0,0.0,555.84,6508.0,555.84,8045.0,555.84,5953.0,0.0,0.0,0.0,0.0,555.84,10090.0,0.0,0.0,555.84,30596.0
16,Bělá nad Radbuzou,P,0.0808,0.9192,0.0,0.0,0.0,1.98,2,5,0.0,0.0,0.0,0.0,856.2,1267.0,0.0,0.0,0.0,0.0,0.0,0.0,856.2,1852.0,0.0,0.0,0.0,0.0,714.12,5074.0,768.2085536433541,8193.0
17,"Benátky nad Jizerou - teplárna, Ořechová 668",S,0.0,1.0,0.0,0.0,0.0,7.7010000000000005,11,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.85,19329.0,0.0,0.0,717.85,19329.0
18,"Benátky nad Jizerou - výtopna, Husovo nám. 39",S,0.0,1.0,0.0,0.0,0.0,1.6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.52,3147.0,0.0,0.0,0.0,0.0,0.0,0.0,624.52,3147.0
19,Benešov,S,0.0,1.0,0.0,0.0,0.0,1.274,1,1,0.0,0.0,218.62,8985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.62,8985.0
20,Benešov,S,0.0,0.9863,0.0,0.0,0.0137,37.184,39,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.67,3109.0,588.61,79248.0,0.0,0.0,587.404255983098,82357.0
21,Benešov - Černoleská 1930,S,0.0,1.0,0.0,0.0,0.0,15.4,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.53,393.0,0.0,0.0,685.51,9020.0,0.0,0.0,685.5108350154043,9413.0
22,Benešov - Jiráskova 2042,S,0.0,1.0,0.0,0.0,0.0,0.375,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.46,1372.0,694.46,1372.0
23,Benešov - Máchova 400,S,0.0,0.7536,0.0,0.0,0.2464,14.7,9,9,0.0,0.0,0.0,0.0,0.0,0.0,697.75,4282.0,0.0,0.0,0.0,0.0,0.0,0.0,697.75,2848.0,0.0,0.0,0.0,0.0,697.75,7130.0
24,Benešov nad Ploučnicí,U,0.0,1.0,0.0,0.0,0.0,2.722,11,15,0.0,0.0,0.0,0.0,619.2,3759.0,0.0,0.0,0.0,0.0,0.0,0.0,619.2,7973.0,0.0,0.0,0.0,0.0,0.0,0.0,619.2,11732.0
25,Benešov nad Ploučnicí - (DK),U,0.0,1.0,0.0,0.0,0.0,0.935,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.18,3692.0,569.1799999999998,3692.0
26,Beroun - CZT,S,0.0,1.0,0.0,0.0,0.0,34.2,153,157,0.0,0.0,0.0,0.0,0.0,0.0,660.54,21143.0,0.0,0.0,0.0,0.0,0.0,0.0,707.79,90781.0,0.0,0.0,0.0,0.0,698.8642401093599,111924.0
27,Beroun - Lidická 785,S,0.0,1.0,0.0,0.0,0.0,0.128,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.19,1009.0,719.19,1009.0
28,Beroun - nelicencované,S,0.0,1.0,0.0,0.0,0.0,0.38799999999999996,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.63,1384.0,346.63,1384.0
29,"Beroun - Pod Studánkou 914, kotelna Hlinky",S,0.0,1.0,0.0,0.0,0.0,5.4510000000000005,28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.71,6125.0,0.0,0.0,585.77,13503.0,0.0,0.0,582.9427888730385,19628.0
30,Beroun - U Nádraží 129,S,0.0,1.0,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.79,534.0,0.0,0.0,690.79,1596.0,0.0,0.0,0.0,0.0,690.7899999999998,2130.0
31,Beroun - V Zahradách 1875,S,0.0,1.0,0.0,0.0,0.0,0.184,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.46,3541.0,0.0,0.0,0.0,0.0,0.0,0.0,687.4600000000002,3541.0
32,Bezdružice,P,0.0,1.0,0.0,0.0,0.0,1.035,6,8,0.0,0.0,608.76,1306.0,608.76,752.0,0.0,0.0,0.0,0.0,0.0,0.0,608.76,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,608.7600000000001,3170.0
33,Bezdružice - Na Sídlišti 299,P,0.0,1.0,0.0,0.0,0.0,1.035,1,1,0.0,0.0,389.0,2161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,2161.0
34,Bílina - areál Doly,U,0.996,0.0015,0.0022,0.0003,0.0,0.0,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.68,48349.0,0.0,0.0,0.0,0.0,488.68,48349.0
35,Bílovec - 17.listopadu 316/32,T,0.0,1.0,0.0,0.0,0.0,0.099,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.16,669.0,347.16,669.0
36,Bílovec - 17.listopadu 317/34,T,0.0,1.0,0.0,0.0,0.0,0.099,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.18,670.0,344.18,670.0
37,"Bílovec - 17.listopadu 526, Gymnázium M. Koperníka",T,0.0,1.0,0.0,0.0,0.0,0.74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.48,2496.0,395.48,2496.0
38,Bílovec - domovní kotelny,T,0.0,1.0,0.0,0.0,0.0,1.45,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.19,6545.0,501.19,6545.0
39,Bílovec - MŠ Svobodova 358/6,T,0.0,1.0,0.0,0.0,0.0,0.045,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.04,205.0,405.03999999999996,205.0
40,Bílovec - MŠ Wolkerova 1000/9,T,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.61,339.0,462.61,339.0
41,Bílovec - MŠ Zahradní 532/29,T,0.0,1.0,0.0,0.0,0.0,0.096,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.64,285.0,438.64,285.0
42,Bílovec - Ostravská 363/7,T,0.0,1.0,0.0,0.0,0.0,0.147,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.44,808.0,410.44,808.0
43,Bílovec - Radotínská 962,T,0.0,1.0,0.0,0.0,0.0,1.71,3,18,0.0,0.0,0.0,0.0,501.21,2869.0,0.0,0.0,0.0,0.0,0.0,0.0,501.21,3156.0,0.0,0.0,0.0,0.0,0.0,0.0,501.21,6025.0
44,Bílovec - Slezské náměstí 63/3,T,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.51,342.0,382.51,342.0
45,"Bílovec - Smetanova 38,41",T,0.0,1.0,0.0,0.0,0.0,0.075,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.01,331.0,379.01,331.0
46,Bílovec - ZŠ Komenského 701/3,T,0.0,1.0,0.0,0.0,0.0,0.42,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.45,1778.0,419.45,1778.0
47,"Bílovec - ZŠ Komenského 701/3, tělocvična",T,0.0,1.0,0.0,0.0,0.0,0.203,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.48,1057.0,393.48,1057.0
48,Bílovec - ZŠ Komenského 854/2,T,0.0,1.0,0.0,0.0,0.0,0.134,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.53,371.0,455.5299999999999,371.0
49,Bílovec - ZŠ Lubojaty 88,T,0.0,1.0,0.0,0.0,0.0,0.08199999999999999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.75,238.0,456.75,238.0
50,Bílovec - ZŠ Ostravská 658/28,T,0.0,1.0,0.0,0.0,0.0,0.375,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.84,1630.0,370.84,1630.0
51,Bílovec - ZŠ Wolkerova 911,T,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.24,297.0,483.24,297.0
52,Blansko - 9. května 2524/45a (K 79),B,0.0,1.0,0.0,0.0,0.0,0.098,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.11,407.0,341.11000000000007,407.0
53,Blansko - Antonína Dvořáka,B,0.0,1.0,0.0,0.0,0.0,0.207,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.52,1641.0,472.52,1641.0
54,Blansko - BD Absolon,B,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.93,166.0,0.0,0.0,791.9300000000001,166.0
55,Blansko - CZT,B,0.0,1.0,0.0,0.0,0.0,23.05,103,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.98,74213.0,0.0,0.0,544.98,74213.0
56,Blansko - Čapkova 1721/12a (K 86),B,0.0,1.0,0.0,0.0,0.0,0.046,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.51,176.0,422.51,176.0
57,"Blansko - Divišova 2a, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.086,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.54,437.0,386.54,437.0
58,"Blansko - Dolní Lhota 177, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.106,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.04,479.0,388.04,479.0
59,"Blansko - Dolní Lhota 87, ZŠ",B,0.0,1.0,0.0,0.0,0.0,0.135,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.29,332.0,365.29,332.0
60,"Blansko - Dvorská 1415/26, ZŠ a MŠ",B,0.0,1.0,0.0,0.0,0.0,1.28,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.05,756.0,516.05,756.0
61,Blansko - Dvorská 1497/20 (K 80),B,0.0,1.0,0.0,0.0,0.0,0.198,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.51,1128.0,332.51,1128.0
62,"Blansko - Dvorská 2099/2, (Galerie)",B,0.0,1.0,0.0,0.0,0.0,0.248,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.84,585.0,355.84,585.0
63,"Blansko - Dvorská 30, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.099,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.93,322.0,439.92999999999995,322.0
64,"Blansko - Hybešova 240/1, (Klub)",B,0.0,1.0,0.0,0.0,0.0,0.4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.36,725.0,438.36,725.0
65,Blansko - Hybešova 658/6 (KINO I),B,0.0,1.0,0.0,0.0,0.0,0.016,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.57,25.0,707.57,25.0
66,Blansko - Hybešova 658/6 (KINO II),B,0.0,1.0,0.0,0.0,0.0,0.22399999999999998,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.82,569.0,428.82,569.0
67,Blansko - Mlýnská 15 (lázně),B,0.0,1.0,0.0,0.0,0.0,0.792,1,3,0.0,0.0,641.61,5860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.61,5860.0
68,"Blansko - Nad Čertovkou 17, ZŠ",B,0.0,1.0,0.0,0.0,0.0,0.47,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.55,874.0,351.55,874.0
69,Blansko - Pod Sanatorkou 3,B,0.0,1.0,0.0,0.0,0.0,1.02,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.73,3613.0,367.73,3613.0
70,Blansko - Podlesí 1806/5 (K 87),B,0.0,1.0,0.0,0.0,0.0,0.124,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.93,576.0,387.93,576.0
71,Blansko - Podlesí 1814/7 (K 91),B,0.0,1.0,0.0,0.0,0.0,0.098,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.49,803.0,431.49000000000007,803.0
72,"Blansko - Rodkovského 2, ZŠ",B,0.0,1.0,0.0,0.0,0.0,0.525,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.06,1790.0,381.06,1790.0
73,"Blansko - Rodkovského 2a, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.131,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.35,465.0,396.35,465.0
74,"Blansko - Rodkovského 2b, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.07,382.0,427.07,382.0
75,Blansko - Sadová 149/2,B,0.0,1.0,0.0,0.0,0.0,0.18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.3,552.0,450.3,552.0
76,"Blansko - Salmova 17, ZŠ",B,0.0,1.0,0.0,0.0,0.0,0.374,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.26,1276.0,386.26,1276.0
77,Blansko - Seifertova 7,B,0.0,1.0,0.0,0.0,0.0,0.14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.55,657.0,406.55000000000007,657.0
78,Blansko - Sladkovského 2b,B,0.0,1.0,0.0,0.0,0.0,0.168,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.76,463.0,409.76,463.0
79,Blansko - Stařeckého 8,B,0.0,1.0,0.0,0.0,0.0,0.11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.75,474.0,533.75,474.0
80,Blansko - Sukova 1052/6 (K 85),B,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.98,322.0,429.98,322.0
81,Blansko - Svitavská 1475/1a,B,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.59,493.0,0.0,0.0,788.59,493.0
82,Blansko - Svitavská 2383/1b,B,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.26,420.0,0.0,0.0,789.26,420.0
83,Blansko - Svitavská 6,B,0.0,1.0,0.0,0.0,0.0,0.025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.2,28.0,337.2,28.0
84,"Blansko - Těchov 124, MŠ",B,0.0,1.0,0.0,0.0,0.0,0.05,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.65,91.0,425.65000000000003,91.0
85,Blansko - Těchovská 478/8 (K 89),B,0.0,1.0,0.0,0.0,0.0,0.037000000000000005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.6,168.0,424.6,168.0
86,Blansko - Údolní 8,B,0.0,1.0,0.0,0.0,0.0,0.135,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.09,538.0,396.09,538.0
87,Blansko - Vodní 9,B,0.0,1.0,0.0,0.0,0.0,0.22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.47,588.0,654.47,588.0
88,Blatná - Čechova 90,C,0.0,1.0,0.0,0.0,0.0,0.902,1,1,0.0,0.0,218.1,10111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.10000000000002,10111.0
89,"Blatná - Čechova, Nad Lomnicí",C,0.0,1.0,0.0,0.0,0.0,8.16,9,48,0.0,0.0,0.0,0.0,557.36,2694.0,0.0,0.0,0.0,0.0,0.0,0.0,557.36,4895.0,0.0,0.0,557.36,14086.0,0.0,0.0,557.36,21675.0
90,Blatná - Nad Lomnicí 2029,C,0.0,1.0,0.0,0.0,0.0,0.5720000000000001,1,2,0.0,0.0,243.53,6153.0,243.53,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.53000000000003,6613.0
91,Bludov,M,0.0,1.0,0.0,0.0,0.0,0.18,2,2,0.0,0.0,494.03,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.01,391.0,0.0,0.0,0.0,0.0,0.0,0.0,494.66651162790697,602.0
92,Bohumín,T,0.0,1.0,0.0,0.0,0.0,2.813,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.84,9447.0,0.0,0.0,0.0,0.0,0.0,0.0,405.84,9447.0
93,Bohumín - Bezručova 1200,T,0.9281,0.005699999999999999,0.0533,0.0,0.0128,34.1,7,11,0.0,0.0,0.0,0.0,0.0,0.0,468.69,192372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.68999999999994,192372.0
94,Bohumín - Bezručova 300,T,0.0,0.0,0.0,0.0,1.0,4.129,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.86,6858.0,0.0,0.0,0.0,0.0,0.0,0.0,346.85999999999996,6858.0
95,"Bohumín - nepropojené tepelné systémy, bytový sektor",T,0.9329000000000001,0.0663,0.0,0.0008,0.0,1.5859999999999999,17,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.32,16787.0,0.0,0.0,613.32,27506.0,662.26,72033.0,574.57,5225.0,640.6568896183495,121551.0
96,Bohumín - školská a kulturní zařízení MÚ,T,0.9864,0.0128,0.0,0.0008,0.0,0.0,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.43,12476.0,0.0,0.0,597.43,12476.0
97,"Bohušovice nad Ohří - Brozanská 367, K55",U,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.83,488.0,577.83,488.0
