lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
Bílovec - MŠ Wolkerova 1000/505,T,0.0,100.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.91,410.0,434.91,410.0
Bílovec - MŠ Zahradní 532/29,T,0.0,100.0,0.0,0.0,0.0,0.11199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.61,320.0,443.61,320.0
Bílovec - Ostravská 693/7,T,0.0,100.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.45,302.0,407.45,302.0
Bílovec - Radotínská 962,T,0.0,100.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,493.37,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,493.37,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,493.37,6780.0
Bílovec - Slezské náměstí 63/3,T,0.0,100.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.35,480.0,394.35,480.0
"Bílovec - Smetanova 38,41",T,0.0,100.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.09,370.0,434.09,370.0
Bílovec - Tkalcovská 101,T,0.0,100.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.53,230.0,417.53,230.0
Bílovec - ZŠ Komenského 701/3,T,0.0,100.0,0.0,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.7,1780.0,411.7,1780.0
"Bílovec - ZŠ Komenského 701/3, tělocvična",T,0.0,100.0,0.0,0.0,0.0,0.24100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.11,905.0,406.11,905.0
Bílovec - ZŠ Komenského 854/2,T,0.0,100.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.86,360.0,437.86,360.0
Bílovec - ZŠ Ostravská 658/28,T,0.0,100.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.91,1750.0,402.91,1750.0
Bílovec - ZŠ Wolkerova 911,T,0.0,100.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.09,405.0,419.09,405.0
