obec,kraj,vykon,teplo_mnozstvi,teplo_cena,uhli,plyn,biomasa,olej,ostatni,pod_uhli,pod_plyn,pod_biomasa,pod_olej,pod_ostatni
Budyně nad Ohří,U,0.21899999999999997,892.0,686.95,0.0,892.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Budíškovice,C,0.637,1650.0,123.75,0.0,0.0,1650.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bukovany,K,0.0,22500.0,586.5,22311.0,189.0,0.0,0.0,0.0,0.9916,0.0084,0.0,0.0,0.0
Bučovice,B,3.258,11485.0,571.3549629952113,0.0,11485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Buštěhrad,S,0.24,715.0,400.16,0.0,715.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bystřice nad Pernštejnem,J,17.754,87117.0,408.6077081396283,0.0,47162.443,39954.557,0.0,0.0,0.0,0.5413689980141648,0.4586310019858352,0.0,0.0
Bystřice pod Hostýnem,Z,19.355000000000004,75735.0,492.4148458440616,40020.0,32235.0,3480.0,0.0,0.0,0.5284214695979402,0.4256288373935433,0.045949693008516534,0.0,0.0
Bystřice u Benešova,S,2.5,6500.0,631.3,6500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Byšice,S,0.495,1300.0,588.54,0.0,1300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bzenec,B,0.78,3200.0,500.0,0.0,3200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bílina,U,0.0,48140.0,480.94000000000005,43985.518,4154.482,0.0,0.0,0.0,0.9137,0.0863,0.0,0.0,0.0
Bílovec,T,5.914999999999999,28532.0,454.75467895696056,0.0,28532.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bělá nad Radbuzou,P,2.22,7700.0,773.3376623376623,0.0,7700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Břasy,P,1.349,2460.0,669.35,0.0,2460.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Břeclav,B,51.647999999999996,214088.0,568.0725021953589,0.0,214088.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Březnice,S,6.188,26672.0,591.1597368026395,0.0,25611.5572,1060.4428,0.0,0.0,0.0,0.9602413467306539,0.039758653269346134,0.0,0.0
Březno,U,0.94,4950.0,830.5,0.0,4950.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Březová u Sokolova,K,0.0,27813.0,625.55,27579.3708,233.62919999999997,0.0,0.0,0.0,0.9916,0.0084,0.0,0.0,0.0
Břidličná,T,6.0249999999999995,40315.0,475.7854297407913,1152.0,39163.0,0.0,0.0,0.0,0.028574972094753813,0.9714250279052462,0.0,0.0,0.0
Chabařovice,U,1.2710000000000001,5584.0,425.42755909742124,0.0,5584.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chbany,U,0.85,5850.0,590.0,4095.0,0.0,1755.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0
Cheb,K,80.7,257235.0,561.6206153905962,2671.0,250414.6068,3920.2856,229.1076,0.0,0.01038350146752969,0.9734857496063911,0.015240094077400044,0.0008906548486792232,0.0
Chelčice,C,8.4,18409.0,741.15,0.0,0.0,18409.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chlum u Třeboně,C,5.86,5700.0,732.6,0.0,5700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chlumec,U,10.722,24539.0,516.1374640368392,0.0,24539.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chlumčany,P,7.341000000000001,54091.0,162.40676822391896,0.0,54091.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chodov,K,0.0,1473504.0,318.1936349884357,1430753.0839999998,19.9,0.0,0.0,42731.016,0.9709869019697265,1.3505222924403326e-05,0.0,0.0,0.028999592807349015
Chomutov,U,84.3,496692.0,598.2292990021986,484810.9763999999,11075.2128,855.2721,0.0,0.0,0.9760796960691936,0.022297948829455676,0.0017219365320963495,0.0,0.0
Chomutov Jirkov Klášterec nad Ohří,U,0.15,1046086.0,420.08831729896013,1038554.1808,5648.8644,1882.9547999999998,0.0,0.0,0.9928,0.0054,0.0017999999999999997,0.0,0.0
Chotěboř,J,13.6,49693.0,543.9235143782827,323.0,48920.4,0.0,224.8,224.8,0.006499909443986074,0.9844525385869237,0.0,0.004523775984545108,0.004523775984545108
Chrastava,L,5.798,26452.0,454.5204899440496,0.0,26452.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chropyně,Z,11.26,33300.0,506.66,0.0,33300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chrudim,E,24.4,47448.0,447.423937784522,9127.5528,14287.1448,0.0,35.1024,24000.0,0.1923696004046535,0.30111163378856853,0.0,0.0007398077895801721,0.5058168942842691
Chrášťany,S,0.7939999999999999,1490.0,478.38865771812084,0.0,0.0,1056.0,434.0,0.0,0.0,0.0,0.7087248322147651,0.2912751677852349,0.0
Chuderov,U,0.099,294.0,517.3702040816327,0.0,294.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chvale,E,2055.8,46037.0,238.56843408562673,46037.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chvaletice Trnávka,E,0.0,25745.0,617.8906230335987,25745.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chvatěruby,S,0.0,8998.0,674.0,0.0,7452.143599999999,0.0,0.0,1545.8564,0.0,0.8281999999999999,0.0,0.0,0.17179999999999998
Chýnov,C,0.605,5000.0,80.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
